gene,scores,logfoldchanges,pvals,pvals_adj,pct_neg,pct_pos
GAS2L1,-0.15769054,-2.3377795,0.8747006570969782,1.0,0.0014763295167481382,0.0029418420457116997
FABP6,-0.15804762,-0.9054439,0.8744192721995414,1.0,0.0012466782585873167,0.0027155465037338763
MB,-0.15838234,-1.2053746,0.874155527620085,1.0,0.0010170270004264952,0.0024892509617560534
STOX2,-0.15840471,0.14468686,0.8741379031820538,1.0,0.003280732259440307,0.0047522063815342835
CRLF1,-0.15843906,-1.9536498,0.8741108372023813,1.0,0.0010170270004264952,0.0024892509617560534
PRDM5,-0.15845904,-0.71319187,0.8740951012354033,1.0,0.0010170270004264952,0.0024892509617560534
ZC2HC1C,-0.15862758,0.64494044,0.873962291658521,1.0,0.0030510810012794854,0.004525910839556461
KCNK17,-0.15876019,-0.8201982,0.8738578088945685,1.0,0.0007873757422656737,0.0022629554197782305
SLC24A4,-0.15913166,-1.8131274,0.8735651429892983,1.0,0.0005577244841048522,0.002036659877800407
SYN3,-0.15916201,-3.4655776,0.8735412269697362,1.0,0.0005577244841048522,0.002036659877800407
ARMC9,-0.15925868,-0.22906666,0.8734650740983739,1.0,0.004625832485810833,0.006109979633401222
RYR1,-0.15926747,0.025045801,0.8734581511681881,1.0,0.0025917784849578424,0.004073319755600814
TMCC2,-0.15949035,-1.3573629,0.8732825637251749,1.0,0.0003280732259440307,0.0018103643358225842
TMIE,-0.15949833,-2.4978175,0.8732762703842495,1.0,0.0003280732259440307,0.0018103643358225842
ITGA3,-0.15989935,-0.13230175,0.8729603549829911,1.0,0.0043961812276500116,0.005883684091423399
CERKL,-0.16017257,1.0462611,0.8727451413476683,1.0,0.0021324759686361995,0.0036207286716451684
SPINT1,-0.16028999,-0.94222313,0.872652640134244,1.0,0.00416652996948919,0.005657388549445576
ANKRD53,-0.16047053,-0.7797085,0.8725104307809217,1.0,0.0019028247104753782,0.0033944331296673455
LRRC46,-0.16048811,1.2726343,0.872496587612521,1.0,0.0019028247104753782,0.0033944331296673455
TLCD1,-0.16060793,-1.275218,0.872402203414303,1.0,0.0019028247104753782,0.0033944331296673455
SLC9B1,-0.16064627,-1.4491136,0.8723720008544399,1.0,0.005970932712181359,0.00746775288526816
AGBL2,-0.1607749,-0.29890832,0.8722706977937077,1.0,0.003936878711328368,0.005431093007467753
FAM227A,-0.16083081,-1.1402091,0.8722266536379624,1.0,0.0016731734523145567,0.0031681375876895226
RLN1,-0.16086917,1.094953,0.8721964521600943,1.0,0.003707227453167547,0.00520479746548993
GAS1,-0.16094425,-3.6419947,0.8721373081389565,1.0,0.003936878711328368,0.005431093007467753
GOLGA8M,-0.16124782,-1.3390907,0.871898222576297,1.0,0.003707227453167547,0.00520479746548993
FGD6,-0.16129974,-0.76750094,0.871857327533129,1.0,0.0034775761950067256,0.004978501923512107
WNT3,-0.16151063,0.8314437,0.8716912342642021,1.0,0.0012138709359929135,0.0027155465037338763
RASSF6,-0.16158892,-2.827381,0.8716295798689722,1.0,0.0012138709359929135,0.0027155465037338763
CACNA1C,-0.16168559,-4.046089,0.8715534566406951,1.0,0.0012138709359929135,0.0027155465037338763
GOLGA6L9,-0.16171594,-1.3155726,0.8715295504177576,1.0,0.003247924936845904,0.0047522063815342835
ARHGEF10,-0.16172792,0.3644814,0.8715201137831132,1.0,0.009579738197565697,0.011088481556913329
AASS,-0.1618821,0.08357209,0.8713986973825764,1.0,0.003247924936845904,0.0047522063815342835
DLK2,-0.16190846,0.6822335,0.8713779373686772,1.0,0.000984219677832092,0.0024892509617560534
DCLK1,-0.16194841,-1.242928,0.871346482971004,1.0,0.000984219677832092,0.0024892509617560534
MEIS3,-0.16197877,-1.6121933,0.871322577764848,1.0,0.000984219677832092,0.0024892509617560534
HSPB8,-0.16234064,-1.8629792,0.8710376116028589,1.0,0.0007545684196712707,0.0022629554197782305
MCF2L,-0.16268975,-0.047532238,0.8707627263345934,1.0,0.002788622420524261,0.004299615297578638
ASS1,-0.16274565,-0.47856152,0.8707186958192143,1.0,0.002788622420524261,0.004299615297578638
STRIP2,-0.16291182,-0.32809445,0.8705878646526427,1.0,0.002329319904202618,0.003847024213622992
SGCE,-0.16291262,-2.9793453,0.8705872356652009,1.0,0.0025589711623634397,0.004073319755600814
KCNJ8,-0.16301966,-2.4280858,0.8705029520885607,1.0,0.00029526590334962764,0.0018103643358225842
RCOR2,-0.16304922,-3.0508716,0.8704796800167811,1.0,0.00029526590334962764,0.0018103643358225842
